(Do Not Modify) Language,(Do Not Modify) Row Checksum,(Do Not Modify) Modified On,IETF Tag,ISO 639-3,Name,English Name,Home Country,Dependent Languages,Region,Gateway Flag,Gateway Language,Scripture Start Date,Status,Projects,Translation Data Last Upload Date
d3d825cf-4edf-e611-8100-c4346bac7abc,9s3S7xK8fcRosKpP+vsNPDGbrCeWz6CxQhGu6BxUygMH/BlKy5ErREzfI4yGGAFIuhVzLuUZ27jX09iJTOnSEQ==,7/29/20 19:17,es,spa,Spanish,Spanish,Spain,24,Western Europe,Yes,,,Active,0,11/14/16
b0d825cf-4edf-e611-8100-c4346bac7abc,Ht58bchbmkQT7tXXJHwSkPEbM/8iXPChr0mi89LeUJc1nlkjUuocyd2X8PquljS+5rO6a0/GkfarXZxcFIjoVg==,4/16/20 22:56,sw,swa,Swahili,Swahili,Tanzania,173,Africa,Yes,English,1/23/17,Active,8,1/15/19
cbd825cf-4edf-e611-8100-c4346bac7abc,5kpwTlzd6XPDetdEbsfUUq1ufOYPFD0B8O4lImpEizBuYlGZEMZOSXcRY4vu2z2csNSP52S72yFCGxQRIC24Gg==,2/13/20 20:49,tl,tgl,Tagalog,Tagalog,Philippines,22,Asia,Yes,,9/5/16,Active,2,4/1/18
b2d825cf-4edf-e611-8100-c4346bac7abc,NTjfw7M0HfT9h3sGEa4IAIlBCDFkW5sMqszsg/SWexJjFQ1CcN7J2pj8TZiPe5esynjyhARRoQjS+BG0KXuVvQ==,7/29/20 19:17,ta,tam,Tamil,Tamil,India,21,South Asia,Yes,,1/11/16,Active,8,
b4d825cf-4edf-e611-8100-c4346bac7abc,Co7BUV6Wy+UHV/w65OSG0zMbPDuoAK7WYdzOkJErRbvzY5J6MWUm6s00nDoLfHEK4ms5NpX1YrrbDa8WEKrqKQ==,7/29/20 19:17,te,tel,Telugu,Telugu,India,65,South Asia,Yes,,1/11/16,Active,8,11/2/16
cdd825cf-4edf-e611-8100-c4346bac7abc,qPQ9AwJ9F11sVeiAqm8B93/z9zHZw26Wy0gslC7eZyWhW9U1CW/2o3XVXLwJLNQbsMJJK9bgwQLletWd5c2wyA==,8/4/20 16:52,th,tha,Thai,Thai,Thailand,35,Asia,Yes,,11/28/16,Active,7,6/4/18
b6d825cf-4edf-e611-8100-c4346bac7abc,fPQHBuOBKlmcQG8cCS3g1Rq/tEPIGykttW+oSI/6O9kX8cP+MzYHkMH/nRufHwimTUdWJxMwQ14ryhbOPlHr0A==,7/31/20 7:00,tpi,tpi,Tok Pisin,Tok Pisin,Papua New Guinea,1111,Pacific,Yes,,4/11/16,Active,8,7/25/20
bbd825cf-4edf-e611-8100-c4346bac7abc,NBMIUOhxj2/vubuiEO49y4jW9JAOfdKPOJkkgP48vkzMMdsEnz4jYNFLAOWydhsv4aja2BPRxLyMcaTHb3eF6Q==,7/29/20 19:16,ur,urd,Urdu,Urdu,Pakistan,64,Eurasia,Yes,,7/4/16,Active,3,8/6/17
f3db25cf-4edf-e611-8100-c4346bac7abc,wYKW4k7V36EPB0qbZjhvcSeHEh2zCgaC2RWZIt9oJfJmyhwpeieYLZvKV5iLmVMj5yIVFG6pSn+JUDjfjRr6YA==,7/29/20 19:16,ur-Deva,,Urdu Devanagari script,Urdu Devanagari script,India,0,South Asia,Yes,Hindi,1/11/16,Active,7,
bdd825cf-4edf-e611-8100-c4346bac7abc,r75m+gmtWs6QI36cTgK2CnZ1rg0VaSVnTTLvj9i1fqU8Rdoaw7YGjzZghX3Enxmm5OgRThqOWXQzl3x5RLCxew==,2/13/20 20:50,vi,vie,Vietnamese,Vietnamese,Vietnam,85,Asia,Yes,,5/1/15,Active,2,6/14/18
